epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.326,1.67641,3.73208,1.62234,0.00193,0.55417,0.20447,0.13703,1.50378,4.33134,1.63072,8.75e-05,8.75e-05,8.75e-05
2,220.284,1.28322,3.34891,1.39341,0.00216,0.60417,0.31796,0.24323,1.10748,4.02671,1.36802,0.000183787,0.000183787,0.000183787
3,312.579,1.29675,2.80713,1.32677,0.00207,0.60417,0.29517,0.2202,1.1419,3.89501,1.39093,0.000276115,0.000276115,0.000276115
4,403.147,1.29869,2.40586,1.31403,0.00255,0.72917,0.34455,0.25861,1.10744,3.60404,1.29414,0.000364482,0.000364482,0.000364482
5,498.075,1.2383,2.14636,1.28781,0.00272,0.79167,0.42623,0.30631,1.25887,3.53489,1.32401,0.00044889,0.00044889,0.00044889
6,595.412,1.2399,2.08466,1.30699,0.96979,0.125,0.53245,0.37076,1.24262,3.32816,1.30002,0.000529338,0.000529338,0.000529338
7,684.054,1.22478,1.96117,1.29031,1,0.18516,0.67255,0.4529,1.15286,3.29566,1.25123,0.000605825,0.000605825,0.000605825
8,772.34,1.15095,1.93881,1.2705,0.86178,0.59052,0.67338,0.46648,1.38519,2.88168,1.49762,0.000678352,0.000678352,0.000678352
9,860.506,1.27341,1.88177,1.30744,0.78458,0.61695,0.69484,0.48999,1.35162,2.74317,1.37759,0.00074692,0.00074692,0.00074692
10,945.696,1.18344,1.81021,1.22543,0.76682,0.64861,0.73822,0.48545,1.28652,2.7252,1.34936,0.000811528,0.000811528,0.000811528
11,1030.36,1.21553,1.69978,1.265,0.89649,0.46754,0.57566,0.39545,1.4096,2.85734,1.47591,0.000872175,0.000872175,0.000872175
12,1116.34,1.27259,1.86282,1.31303,0.5866,0.50208,0.55516,0.39703,1.51001,2.75822,1.51567,0.000928863,0.000928863,0.000928863
13,1201.62,1.20498,1.72757,1.26022,0.63167,0.59933,0.61668,0.40648,1.58101,2.83129,1.58795,0.000953,0.000953,0.000953
14,1282.4,1.24463,1.6823,1.30186,0.67463,0.67917,0.63197,0.41857,1.59977,2.69225,1.59928,0.00092825,0.00092825,0.00092825
15,1362.6,1.29878,1.75591,1.32795,0.75873,0.54792,0.67565,0.46202,1.35449,2.58794,1.45301,0.0009035,0.0009035,0.0009035
16,1446.56,1.28604,1.72562,1.34908,0.7074,0.58893,0.64887,0.46312,1.341,2.62935,1.45325,0.00087875,0.00087875,0.00087875
17,1530.95,1.18347,1.58867,1.25918,0.75768,0.46611,0.59604,0.41382,1.50192,3.01797,1.63848,0.000854,0.000854,0.000854
18,1611.84,1.19805,1.58337,1.2781,0.8726,0.5972,0.65892,0.48729,1.40058,2.63707,1.55656,0.00082925,0.00082925,0.00082925
19,1691.04,1.09423,1.35624,1.22129,0.87228,0.6283,0.65159,0.45005,1.41175,2.67933,1.5033,0.0008045,0.0008045,0.0008045
20,1775.87,1.1936,1.51726,1.23634,0.62978,0.62533,0.56991,0.33776,1.65351,3.19003,1.73084,0.00077975,0.00077975,0.00077975
21,1859.51,1.16261,1.55978,1.27173,0.71533,0.69468,0.60605,0.38,1.46561,2.62334,1.5215,0.000755,0.000755,0.000755
22,1945.08,1.19157,1.45663,1.25797,0.66897,0.67061,0.67414,0.43355,1.45496,2.39781,1.53553,0.00073025,0.00073025,0.00073025
23,2022.69,1.09948,1.37301,1.21361,0.6085,0.68279,0.62918,0.39194,1.50734,2.28527,1.65632,0.0007055,0.0007055,0.0007055
24,2101.49,1.08893,1.34364,1.20291,0.63673,0.61458,0.63012,0.38883,1.46121,2.38011,1.79471,0.00068075,0.00068075,0.00068075
25,2179.03,1.03031,1.21374,1.16133,0.87364,0.62002,0.71419,0.47212,1.42136,2.66538,1.72948,0.000656,0.000656,0.000656
26,2255.98,1.14807,1.3481,1.24372,0.77884,0.69792,0.73173,0.4888,1.44891,2.42887,1.72561,0.00063125,0.00063125,0.00063125
27,2338.38,1.08343,1.31709,1.17597,0.66128,0.75659,0.65995,0.48411,1.41334,2.36596,1.50581,0.0006065,0.0006065,0.0006065
28,2418.36,0.98618,1.22138,1.16598,0.78267,0.69167,0.65866,0.49219,1.42199,2.23661,1.48041,0.00058175,0.00058175,0.00058175
29,2495.65,0.98774,1.19008,1.1463,0.8527,0.68214,0.73162,0.52621,1.29706,2.09735,1.38304,0.000557,0.000557,0.000557
30,2572.77,0.99956,1.19048,1.14815,0.78041,0.74167,0.73692,0.51939,1.3051,2.02137,1.39468,0.00053225,0.00053225,0.00053225
31,2657.66,1.00166,1.24056,1.16853,0.82952,0.74011,0.76484,0.53267,1.41992,1.95538,1.53119,0.0005075,0.0005075,0.0005075
32,2739.06,0.96221,1.08897,1.10814,0.86088,0.69455,0.75116,0.5171,1.39261,1.95499,1.4941,0.00048275,0.00048275,0.00048275
33,2827.13,0.93047,1.12385,1.09905,0.82998,0.70854,0.72475,0.49937,1.3589,1.8315,1.4355,0.000458,0.000458,0.000458
34,2908.36,0.92027,1.00489,1.08661,0.83238,0.68736,0.726,0.50462,1.39462,1.87097,1.44459,0.00043325,0.00043325,0.00043325
35,2987.39,0.94978,1.03896,1.11505,0.81362,0.69135,0.72874,0.51699,1.40389,1.79314,1.47084,0.0004085,0.0004085,0.0004085
36,3065.52,0.87566,0.99619,1.07496,0.83382,0.7151,0.70044,0.50585,1.41293,1.7612,1.49039,0.00038375,0.00038375,0.00038375
37,3146.18,0.89849,1.05397,1.13121,0.83889,0.75676,0.72428,0.50713,1.39924,1.72959,1.47073,0.000359,0.000359,0.000359
38,3243.01,0.89976,1.03424,1.094,0.82027,0.78312,0.76841,0.53466,1.35194,1.71761,1.42018,0.00033425,0.00033425,0.00033425
39,3332.1,0.85554,0.98883,1.07879,0.85114,0.80332,0.76982,0.536,1.40313,1.69784,1.45508,0.0003095,0.0003095,0.0003095
